Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 35dut3ICqF3NEDkjxfzJJ1 || Album Name: Starboy (Deluxe) || Release Date: 2023-03-14 || No. of Tracks: 21 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 1OARrXe5sB0gyy3MhQ8h92 || Album Name: Live At SoFi Stadium || Release Date: 2023-03-03 || No. of Tracks: 31 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 4M2Mf4pmARKGVT9MLCe3HA || Album Name: Avatar: The Way of Water (Original Motion Picture Soundtrack) || Release Date: 2022-12-15 || No. of Tracks: 22 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 12INlMsFtBjyehNnawBv36 || Album Name: Dawn FM (Alternate World) || Release Date: 2022-01-07 || No. of Tracks: 24 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 2nLOHgzXzwFEpl62zAgCEC || Album Name: Dawn FM || Release Date: 2022-01-06 || No. of Tracks: 16 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 742eAldb4AJKLoPgJhGRE7 || Album Name: After Hours (Deluxe) || Release Date: 2020-03-20 || No. of Tracks: 18 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 4yP0hdKOZPNshxUOjY0cZj || Album Name: After Hours || Release Date: 2020-03-20 || No. of Tracks: 14 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 4qZBW3f2Q8y0k1A84d4iAO || Album Name: My Dear Melancholy, || Release Date: 2018-03-30 || No. of Tracks: 7 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 2ODvWsOgouMbaA5xf0RkJe || Album Name: Starboy || Release Date: 2016-11-25 || No. of Tracks: 18 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 0P3oVJBFOv3TDXlYRhGL7s || Album Name: Beauty Behind The Madness || Release Date: 2015-08-28 || No. of Tracks: 14 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 6wRev1uYL0JsMsWqktJuVi || Album Name: Kiss Land (Deluxe) || Release Date: 2013-09-10 || No. of Tracks: 12 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 3hhDpPtCFuQbppwYgsVhMO || Album Name: Kiss Land || Release Date: 2013-09-10 || No. of Tracks: 10 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 5EbpxRwbbpCJUepbqVTZ1U || Album Name: Trilogy || Release Date: 2012-11-13 || No. of Tracks: 30 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 04hy4jb1GDD00otiwzsFUB || Album Name: Echoes Of Silence (Original) || Release Date: 2011-12-21 || No. of Tracks: 9 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 6F87lH0I09qlrzvCCKc7lz || Album Name: Thursday (Original) || Release Date: 2011-08-18 || No. of Tracks: 9 || Album Type: album
Artist ID: 1Xyo4u8uXC1ZmMpatF05PJ || Album ID: 7zCODUHkfuRxsUjtuzNqbd || Album Name: House Of Balloons (Original) || Release Date: 2011-03-21 || No. of Tracks: 9 || Album Type: album

Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 5AEDGbliTTfjOB8TSm1sxt || Album Name: Speak Now (Taylor's Version) || Release Date: 2023-07-07 || No. of Tracks: 22 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 1fnJ7k0bllNfL1kVdNVW1A || Album Name: Midnights (The Til Dawn Edition) || Release Date: 2023-05-26 || No. of Tracks: 23 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 3lS1y25WAhcqJDATJK70Mq || Album Name: Midnights (3am Edition) || Release Date: 2022-10-22 || No. of Tracks: 20 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 151w1FgRZfnKZA9FEcg9Z3 || Album Name: Midnights || Release Date: 2022-10-21 || No. of Tracks: 13 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 6kZ42qRrzov54LcAk4onW9 || Album Name: Red (Taylor's Version) || Release Date: 2021-11-12 || No. of Tracks: 30 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 4hDok0OAJd57SGIT8xuWJH || Album Name: Fearless (Taylor's Version) || Release Date: 2021-04-09 || No. of Tracks: 26 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 6AORtDjduMM3bupSWzbTSG || Album Name: evermore (deluxe version) || Release Date: 2021-01-07 || No. of Tracks: 17 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 2Xoteh7uEpea4TohMxjtaq || Album Name: evermore || Release Date: 2020-12-11 || No. of Tracks: 15 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 0PZ7lAru5FDFHuirTkWe9Z || Album Name: folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition] || Release Date: 2020-11-25 || No. of Tracks: 34 || Album Type: album
Artist ID: 06HL4z0CvFAxyc27GXpf02 || Album ID: 1pzvBxYgT6OVwJLtHkrdQK || Album Name: folklore (deluxe version) || Release Date: 2020-08-18 || No. of Tracks: 17 || Album Type: album
